id,production_location,production_location2,sale_location,sale_location2,types_of_sampling,food_category,adulterant_category,adulterant,food_specifications_model_list,mandate_level,manufacturer_type,sampled_location_type,grade
2644,江苏省,泰州市,江苏省,泰州市,Same Place,convenience food,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
6407,四川省,德阳市,四川省,德阳市,Same Place,condiment,Specification,总酸,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2641,河南省,开封市,河南省,开封市,Same Place,convenience food,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8833,江苏省,苏州市,江苏省,苏州市,Same Place,vegetable and vegetable product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5498,山东省,威海市,山东省,威海市,Same Place,restaurant food,Food additive,铝,Bulk weighing,Provincially Mandated,manufacturer,manufacturer,1
8655,广东省,汕头市,广东省,广州市,Off-site,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,wholesale market,0
1892,江苏省,南通市,江苏省,南通市,Same Place,meat and meat product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
951,山东省,菏泽市,河南省,开封市,Off-site,alcohol,Specification,酒精度;原麦汁浓度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
6272,内蒙古自治区,包头市,内蒙古自治区,包头市,Same Place,condiment,Food additive,柠檬黄;日落黄,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,1
8341,四川省,凉山彝族自治州,四川省,凉山彝族自治州,Same Place,vegetable and vegetable product,Food additive,苯甲酸,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
608,山东省,临沂市,山东省,临沂市,Same Place,cereal and cereal product,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5958,四川省,内江市,四川省,内江市,Same Place,condiment,Specification,氨基酸态氮,Bulk weighing,Provincially Mandated,manufacturer,restaurant,0
9104,浙江省,绍兴市,浙江省,绍兴市,Same Place,tea and tea product,Pesticide and veterinary drug,三氯杀螨醇,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
251,河南省,驻马店市,河南省,驻马店市,Same Place,cereal and cereal product,Toxin,脱氧雪腐镰刀菌烯醇,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
815,广东省,梅州市,广东省,梅州市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
3103,江苏省,常州市,江苏省,苏州市,Off-site,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Bulk weighing,Provincially Mandated,manufacturer,wholesale market,0
5844,河南省,商丘市,山东省,枣庄市,Off-site,condiment,Specification,氨基酸态氮,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
4728,江苏省,南通市,江苏省,南通市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
7884,广东省,深圳市,广东省,深圳市,Same Place,fruit and fruit product,Food additive,环己基氨基磺酸钠,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
7422,河北省,廊坊市,河北省,廊坊市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
4606,广西壮族自治区,南宁市,广西壮族自治区,南宁市,Same Place,pastry,Specification,脂肪,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
1619,贵州省,遵义市,贵州省,遵义市,Same Place,alcohol,Specification,氰化物,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
597,广西壮族自治区,南宁市,广西壮族自治区,南宁市,Same Place,cereal and cereal product,Microbial contamination,大肠菌群,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
7069,陕西省,西安市,陕西省,西安市,Same Place,nut and nut product,Environmental contaminant,过氧化值;铅,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,1
2105,宁夏回族自治区,石嘴山市,宁夏回族自治区,石嘴山市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,eatery,eatery,0
3377,河南省,开封市,河南省,开封市,Same Place,pastry,Microbial contamination,菌落总数,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,2
1354,湖北省,宜昌市,湖北省,宜昌市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1752,陕西省,渭南市,陕西省,渭南市,Same Place,confectionery,Microbial contamination,菌落总数;大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,2
6241,贵州省,毕节市,贵州省,毕节市,Same Place,condiment,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1746,福建省,泉州市,福建省,泉州市,Same Place,confectionery,Microbial contamination,霉菌,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5404,湖北省,武汉市,湖北省,武汉市,Same Place,sugar,Specification,还原糖分,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
8398,吉林省,延边朝鲜族自治州,吉林省,延边朝鲜族自治州,Same Place,vegetable and vegetable product,Food additive,苯甲酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
6527,河南省,洛阳市,河南省,洛阳市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,online store,0
4094,安徽省,马鞍山市,安徽省,马鞍山市,Same Place,pastry,Food additive,山梨酸;脱氢乙酸;脱氢乙酸,Bulk weighing,Nationally Mandated,manufacturer,other supermarket/convenience store,1
8488,山东省,临沂市,山东省,临沂市,Same Place,vegetable and vegetable product,Microbial contamination,大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
4890,山西省,阳泉市,山西省,阳泉市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
952,山东省,菏泽市,河南省,开封市,Off-site,alcohol,Specification,酒精度;原麦汁浓度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8689,四川省,宜宾市,四川省,资阳市,Off-site,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,restaurant,1
2197,山东省,烟台市,山东省,烟台市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,1
6849,广东省,揭阳市,广东省,广州市,Off-site,nut and nut product,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,1
4968,河南省,新乡市,河南省,濮阳市,Off-site,pastry,Specification,脂肪,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8132,广东省,云浮市,广东省,广州市,Off-site,fruit and fruit product,Specification,水分,Pre-packaged,Provincially Mandated,manufacturer,wholesale market,0
5832,江苏省,镇江市,江苏省,盐城市,Off-site,condiment,Specification,氨基酸态氮,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
6859,浙江省,温州市,浙江省,温州市,Same Place,nut and nut product,Food additive,甜蜜素,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
1271,江苏省,苏州市,江苏省,宿迁市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
6029,河南省,商丘市,河南省,商丘市,Same Place,condiment,Food additive,氨基酸态氮;苯甲酸,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
8962,黑龙江省,哈尔滨市,黑龙江省,哈尔滨市,Same Place,vegetable and vegetable product,Food additive,甜蜜素,Pre-packaged,Nationally Mandated,manufacturer,wet market/wholesale market,0
4920,浙江省,温州市,浙江省,温州市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
6183,吉林省,长春市,吉林省,长春市,Same Place,condiment,Specification,谷氨酸钠,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
2131,吉林省,延边朝鲜族自治州,吉林省,延边朝鲜族自治州,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,2
2017,黑龙江省,佳木斯市,黑龙江省,佳木斯市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
939,广东省,揭阳市,广东省,揭阳市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
1729,陕西省,咸阳市,陕西省,咸阳市,Same Place,confectionery,Microbial contamination,大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1185,吉林省,白城市,吉林省,白城市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7155,安徽省,芜湖市,安徽省,芜湖市,Same Place,nut and nut product,Specification,过氧化值,Bulk weighing,Nationally Mandated,manufacturer,manufacturer,0
3645,江苏省,泰州市,江苏省,泰州市,Same Place,pastry,Microbial contamination,菌落总数;霉菌,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,3
4523,广东省,广州市,广东省,广州市,Same Place,pastry,Food additive,脱氢乙酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Bulk weighing,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2956,辽宁省,抚顺市,辽宁省,抚顺市,Same Place,pastry,Food additive,安赛蜜,Pre-packaged,Nationally Mandated,manufacturer,restaurant,0
3560,江西省,上饶市,江西省,上饶市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3740,湖南省,长沙市,湖南省,长沙市,Same Place,pastry,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
5525,陕西省,渭南市,陕西省,渭南市,Same Place,restaurant food,Food additive,苯甲酸;糖精钠,Bulk weighing,Provincially Mandated,restaurant,restaurant,0
2959,湖南省,岳阳市,湖南省,岳阳市,Same Place,pastry,Food additive,安赛蜜,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6713,广东省,汕头市,广东省,汕头市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
7703,山西省,运城市,山西省,运城市,Same Place,fruit and fruit product,Food additive,苯甲酸,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5534,陕西省,渭南市,陕西省,渭南市,Same Place,restaurant food,Food additive,苯甲酸;糖精钠,Bulk weighing,Provincially Mandated,restaurant,restaurant,0
1544,四川省,成都市,四川省,宜宾市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
1210,湖北省,咸宁市,湖北省,咸宁市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6026,新疆维吾尔自治区,乌鲁木齐市,新疆维吾尔自治区,乌鲁木齐市,Same Place,condiment,Specification,氨基酸态氮;苯甲酸,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
17,四川省,成都市,四川省,成都市,Same Place,bee product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,online store,0
577,安徽省,滁州市,安徽省,滁州市,Same Place,cereal and cereal product,Toxin,脱氧雪腐镰刀菌烯醇,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
8327,河北省,石家庄市,山东省,德州市,Off-site,vegetable and vegetable product,Food additive,苯甲酸,Pre-packaged,Provincially Mandated,manufacturer,restaurant,0
6944,广东省,东莞市,广东省,河源市,Off-site,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
6766,江苏省,苏州市,江苏省,苏州市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
2930,河南省,周口市,四川省,资阳市,Off-site,convenience food,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
5011,江西省,景德镇市,江西省,景德镇市,Same Place,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
2645,河南省,焦作市,河南省,开封市,Off-site,convenience food,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
2695,河南省,周口市,河南省,平顶山市,Off-site,convenience food,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8324,山东省,青岛市,山东省,青岛市,Same Place,vegetable and vegetable product,Food additive,苯甲酸,Pre-packaged,Provincially Mandated,manufacturer,restaurant,0
776,安徽省,宣城市,安徽省,宣城市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5801,吉林省,吉林市,吉林省,延边朝鲜族自治州,Off-site,condiment,Specification,氨基酸态氮,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
1428,辽宁省,铁岭市,辽宁省,铁岭市,Same Place,alcohol,Specification,酒精度,Bulk weighing,Provincially Mandated,manufacturer,manufacturer,0
3918,山东省,德州市,山东省,德州市,Same Place,pastry,Food additive,纳他霉素,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
4135,广东省,云浮市,广东省,云浮市,Same Place,pastry,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
2717,广东省,梅州市,广东省,梅州市,Same Place,convenience food,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
3572,四川省,成都市,四川省,成都市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
752,河南省,南阳市,湖北省,恩施土家族苗族自治州,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
620,湖北省,随州市,湖北省,黄冈市,Off-site,cereal and cereal product,Toxin,脱氧雪腐镰刀菌烯醇,Pre-packaged,Provincially Mandated,manufacturer,cafeteria,0
2371,江苏省,宿迁市,江西省,南昌市,Off-site,meat and meat product,Food additive,山梨酸及其钾盐,Pre-packaged,Nationally Mandated,manufacturer,chain supermarket,0
7393,新疆维吾尔自治区,塔城地区,新疆维吾尔自治区,塔城地区,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5999,四川省,成都市,四川省,成都市,Same Place,condiment,Specification,氨基酸态氮,Bulk weighing,Provincially Mandated,manufacturer,restaurant,0
960,河南省,郑州市,河南省,驻马店市,Off-site,alcohol,Specification,酒精度;原麦汁浓度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5103,广东省,揭阳市,广东省,广州市,Off-site,aquatic product,Environmental contaminant,N-二甲基亚硝胺,Pre-packaged,Nationally Mandated,manufacturer,wet market,2
4325,广西壮族自治区,南宁市,广西壮族自治区,柳州市,Off-site,pastry,Food additive,脱氢乙酸,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
937,广东省,揭阳市,广东省,潮州市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
3248,贵州省,贵阳市,贵州省,贵阳市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和;脱氢乙酸,Pre-packaged,Provincially Mandated,other supermarket/convenience store,other supermarket/convenience store,0
8951,湖南省,长沙市,湖南省,长沙市,Same Place,vegetable and vegetable product,Food additive,甜蜜素,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
3021,河南省,郑州市,河南省,郑州市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,cafeteria,0
5652,贵州省,黔南布依族苗族自治州,贵州省,贵阳市,Off-site,snack,Microbial contamination,酸价;大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,3
7340,贵州省,黔东南苗族侗族自治州,贵州省,黔东南苗族侗族自治州,Same Place,"edible oil, fat and their product",Environmental contaminant,苯并[a]芘,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5690,广东省,潮州市,河北省,石家庄市,Off-site,snack,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,wet market/wholesale market,0
3095,河南省,新乡市,河南省,鹤壁市,Off-site,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8819,吉林省,吉林市,吉林省,吉林市,Same Place,vegetable and vegetable product,Food additive,二氧化硫;乙二胺四乙酸二钠,Pre-packaged,Nationally Mandated,manufacturer,wet market,3
8033,广东省,茂名市,广东省,茂名市,Same Place,fruit and fruit product,Food additive,钠,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
7087,安徽省,合肥市,安徽省,合肥市,Same Place,nut and nut product,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,1
5206,贵州省,贵阳市,贵州省,贵阳市,Same Place,aquatic product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,3
3208,四川省,成都市,四川省,成都市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
7463,湖北省,宜昌市,湖北省,宜昌市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,1
550,安徽省,芜湖市,安徽省,芜湖市,Same Place,cereal and cereal product,Environmental contaminant,铬,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5365,浙江省,温州市,浙江省,温州市,Same Place,aquatic product,Microbial contamination,菌落总数;大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,3
5284,山东省,威海市,山东省,威海市,Same Place,aquatic product,Food additive,铝,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
774,四川省,雅安市,四川省,甘孜藏族自治州,Off-site,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
3919,山东省,德州市,山东省,德州市,Same Place,pastry,Food additive,纳他霉素,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
3437,浙江省,丽水市,浙江省,丽水市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,3
7173,湖北省,孝感市,湖北省,孝感市,Same Place,nut and nut product,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
34,甘肃省,临夏回族自治州,甘肃省,临夏回族自治州,Same Place,bee product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7709,贵州省,贵阳市,贵州省,贵阳市,Same Place,fruit and fruit product,Microbial contamination,大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
3511,浙江省,丽水市,浙江省,丽水市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5082,湖南省,衡阳市,湖南省,衡阳市,Same Place,pastry,Food additive,脂肪;脱氢乙酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7129,广东省,广州市,广东省,广州市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,wet market/wholesale market,1
7581,黑龙江省,双鸭山市,黑龙江省,双鸭山市,Same Place,"edible oil, fat and their product",Specification,溶剂残留,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
8829,黑龙江省,牡丹江市,黑龙江省,牡丹江市,Same Place,vegetable and vegetable product,Environmental contaminant,镉,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1622,安徽省,宣城市,安徽省,宣城市,Same Place,alcohol,Specification,氰化物,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8286,湖北省,武汉市,湖北省,武汉市,Same Place,vegetable and vegetable product,Food additive,苯甲酸,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
4462,广西壮族自治区,钦州市,广西壮族自治区,钦州市,Same Place,pastry,Food additive,脱氢乙酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
1258,安徽省,淮北市,安徽省,淮北市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6471,广东省,汕尾市,广东省,汕尾市,Same Place,condiment,Specification,总酸,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
8477,贵州省,遵义市,贵州省,遵义市,Same Place,vegetable and vegetable product,Microbial contamination,大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,3
3825,浙江省,嘉兴市,浙江省,嘉兴市,Same Place,pastry,Microbial contamination,霉菌,Bulk weighing,Nationally Mandated,manufacturer,chain supermarket,0
4747,浙江省,金华市,浙江省,金华市,Same Place,pastry,Specification,脂肪,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
2481,广东省,中山市,广东省,中山市,Same Place,meat and meat product,Environmental contaminant,亚硝酸钠,Bulk weighing,Provincially Mandated,wet market/wholesale market,other supermarket/convenience store,0
7371,安徽省,池州市,安徽省,池州市,Same Place,"edible oil, fat and their product",Environmental contaminant,苯并[a]芘,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8937,广西壮族自治区,南宁市,广西壮族自治区,南宁市,Same Place,vegetable and vegetable product,Food additive,糖精钠;二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,1
3191,山东省,淄博市,山东省,淄博市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7630,黑龙江省,哈尔滨市,黑龙江省,哈尔滨市,Same Place,"edible oil, fat and their product",Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
229,河南省,驻马店市,河南省,信阳市,Off-site,cereal and cereal product,Toxin,脱氧雪腐镰刀菌烯醇,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7963,江苏省,苏州市,江苏省,苏州市,Same Place,fruit and fruit product,Microbial contamination,菌落总数;霉菌,Bulk weighing,Nationally Mandated,manufacturer,manufacturer,0
532,吉林省,长春市,吉林省,长春市,Same Place,cereal and cereal product,Food additive,铝,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
7124,山东省,临沂市,河南省,鹤壁市,Off-site,nut and nut product,Specification,过氧化值,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5819,贵州省,毕节市,贵州省,毕节市,Same Place,condiment,Specification,氨基酸态氮,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
7975,湖南省,益阳市,湖南省,益阳市,Same Place,fruit and fruit product,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1930,浙江省,杭州市,浙江省,杭州市,Same Place,meat and meat product,Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,1
2868,广西壮族自治区,玉林市,广东省,茂名市,Off-site,convenience food,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
4126,河北省,邢台市,河北省,邢台市,Same Place,pastry,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
5648,江苏省,苏州市,江苏省,苏州市,Same Place,snack,Specification,过氧化值,Bulk weighing,Provincially Mandated,manufacturer,manufacturer,0
7601,新疆维吾尔自治区,和田地区,新疆维吾尔自治区,和田地区,Same Place,"edible oil, fat and their product",Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3223,山东省,德州市,河南省,洛阳市,Off-site,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和;山梨酸,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
7443,江苏省,苏州市,辽宁省,铁岭市,Off-site,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
9260,河南省,焦作市,河南省,郑州市,Off-site,frozen ice and ice cream,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
1769,广东省,河源市,广东省,深圳市,Off-site,bean and bean product,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5724,贵州省,毕节市,贵州省,毕节市,Same Place,snack,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8830,湖南省,长沙市,湖南省,长沙市,Same Place,vegetable and vegetable product,Environmental contaminant,镉,Bulk weighing,Provincially Mandated,manufacturer,manufacturer,0
557,河南省,开封市,河南省,开封市,Same Place,cereal and cereal product,Food additive,安赛蜜;甜蜜素,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5263,吉林省,延边朝鲜族自治州,吉林省,延边朝鲜族自治州,Same Place,aquatic product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,3
8247,湖南省,岳阳市,湖南省,岳阳市,Same Place,vegetable and vegetable product,Food additive,安赛蜜;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7523,四川省,绵阳市,四川省,广元市,Off-site,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,restaurant,0
4111,陕西省,榆林市,陕西省,榆林市,Same Place,pastry,Specification,酸价,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
4045,广东省,江门市,广东省,江门市,Same Place,pastry,Food additive,山梨酸;脱氢乙酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
2016,黑龙江省,鹤岗市,黑龙江省,鹤岗市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,3
7284,甘肃省,临夏回族自治州,甘肃省,临夏回族自治州,Same Place,"edible oil, fat and their product",Environmental contaminant,苯并[a]芘,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5568,广东省,惠州市,广东省,江门市,Off-site,restaurant food,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,restaurant,0
2152,辽宁省,铁岭市,辽宁省,铁岭市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
6400,内蒙古自治区,乌兰察布市,内蒙古自治区,鄂尔多斯市,Off-site,condiment,Specification,总酸,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
4115,广东省,东莞市,广东省,东莞市,Same Place,pastry,Specification,酸价,Bulk weighing,Nationally Mandated,manufacturer,other supermarket/convenience store,0
1308,吉林省,长春市,吉林省,长春市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
1519,贵州省,遵义市,贵州省,遵义市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
2604,广东省,韶关市,广东省,韶关市,Same Place,convenience food,Microbial contamination,大肠菌群,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
6721,广东省,佛山市,广东省,清远市,Off-site,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,wet market/wholesale market,0
7757,山西省,大同市,山西省,大同市,Same Place,fruit and fruit product,Food additive,二氧化硫,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
