id,production_location,production_location2,sale_location,sale_location2,types_of_sampling,food_category,adulterant_category,adulterant,food_specifications_model_list,mandate_level,manufacturer_type,sampled_location_type,grade
8372,广东省,广州市,广东省,广州市,Same Place,vegetable and vegetable product,Food additive,苯甲酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,wholesale/retail,0
4369,陕西省,铜川市,陕西省,铜川市,Same Place,pastry,Food additive,脱氢乙酸,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
3154,安徽省,铜陵市,安徽省,铜陵市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
114,江苏省,扬州市,江苏省,南通市,Off-site,bee product,Specification,果糖和葡萄糖,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
3673,广西壮族自治区,南宁市,广西壮族自治区,南宁市,Same Place,pastry,Food additive,铝,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5459,浙江省,湖州市,浙江省,湖州市,Same Place,sugar,Specification,不溶于水杂质,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,1
1053,内蒙古自治区,呼伦贝尔市,内蒙古自治区,通辽市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
3449,湖南省,岳阳市,湖南省,岳阳市,Same Place,pastry,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,1
1857,河北省,石家庄市,河北省,石家庄市,Same Place,meat and meat product,Environmental contaminant,镉,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6882,湖南省,益阳市,湖南省,益阳市,Same Place,nut and nut product,Microbial contamination,霉菌,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
4801,湖北省,武汉市,安徽省,宣城市,Off-site,pastry,Specification,脂肪,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
2855,安徽省,合肥市,安徽省,合肥市,Same Place,convenience food,Food additive,安赛蜜,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
7537,青海省,海东市,青海省,玉树藏族自治州,Off-site,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
2603,河南省,开封市,河南省,开封市,Same Place,convenience food,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
7448,江西省,南昌市,江西省,南昌市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6291,山东省,青岛市,山东省,青岛市,Same Place,condiment,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3672,内蒙古自治区,通辽市,内蒙古自治区,通辽市,Same Place,pastry,Food additive,铝,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
5936,贵州省,毕节市,贵州省,毕节市,Same Place,condiment,Specification,氨基酸态氮,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
7401,新疆维吾尔自治区,喀什地区,新疆维吾尔自治区,喀什地区,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
9157,黑龙江省,牡丹江市,黑龙江省,牡丹江市,Same Place,frozen ice and ice cream,Specification,蛋白质;菌落总数,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
6312,山东省,青岛市,山东省,青岛市,Same Place,condiment,Environmental contaminant,铅,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
9037,福建省,宁德市,福建省,宁德市,Same Place,tea and tea product,Pesticide and veterinary drug,草甘膦,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
1343,安徽省,亳州市,安徽省,亳州市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8777,广东省,汕头市,广东省,汕头市,Same Place,vegetable and vegetable product,Food additive,二氧化硫,Pre-packaged,Provincially Mandated,manufacturer,chain supermarket,0
8920,浙江省,宁波市,山东省,滨州市,Off-site,vegetable and vegetable product,Food additive,糖精钠,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
7495,湖南省,邵阳市,湖南省,邵阳市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
922,广东省,湛江市,海南省,海口市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
4475,贵州省,贵阳市,贵州省,贵阳市,Same Place,pastry,Food additive,脱氢乙酸;防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
5678,贵州省,安顺市,贵州省,安顺市,Same Place,snack,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,1
8236,四川省,眉山市,四川省,巴中市,Off-site,vegetable and vegetable product,Food additive,安赛蜜,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
7528,广东省,茂名市,广东省,茂名市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Bulk weighing,Provincially Mandated,wet market/wholesale market,wet market/wholesale market,0
8321,山东省,济南市,山东省,济南市,Same Place,vegetable and vegetable product,Food additive,苯甲酸,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
9243,山东省,菏泽市,山东省,菏泽市,Same Place,frozen ice and ice cream,Microbial contamination,菌落总数;大肠菌群,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,3
2311,吉林省,延边朝鲜族自治州,吉林省,延边朝鲜族自治州,Same Place,meat and meat product,Food additive,山梨酸,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,3
1057,辽宁省,朝阳市,山东省,临沂市,Off-site,alcohol,Specification,酒精度,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
5940,四川省,成都市,四川省,眉山市,Off-site,condiment,Specification,氨基酸态氮,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
4236,贵州省,贵阳市,贵州省,贵阳市,Same Place,pastry,Food additive,脱氢乙酸,Pre-packaged,Provincially Mandated,restaurant,restaurant,0
5149,湖南省,郴州市,湖南省,郴州市,Same Place,aquatic product,Specification,酸价,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
